time,lat,lon,depth,synechococcus_spp,synechococcus_spp_std_dev,peuk,peuk_std_dev,neuk,neuk_std_dev,coccolith,coccolith_std_dev,cryptophyta,cryptophyta_std_dev,phaeocystis_sp,phaeocystis_sp_std_dev,dinofl,dinofl_std_dev,hneuk,hneuk_std_dev,hna_het,hna_het_std_dev,lna,lna_std_dev
2007-04-23,50.25,-4.21667,1.0,1346.0,149.0,4613.0,613.0,1559.0,160.0,13.0,7.0,56000.0,14000.0,496000,33000,37000,32000,,,545437.0,9552.0,149612.0,2967.0
2007-04-23,50.25,-4.21667,10.0,2960.0,97.0,3915.0,194.0,1316.0,29.0,19.0,4.0,100000.0,15000.0,605000,96000,32000,6000,,,470098.0,3784.0,254456.0,880.0
2007-04-23,50.25,-4.21667,25.0,3178.0,90.0,3648.0,78.0,1308.0,69.0,21.0,5.0,93000.0,15000.0,1193000,319000,14000,4000,,,487806.0,725.0,291132.0,345.0
2007-04-23,50.25,-4.21667,52.0,3175.0,39.0,3525.0,48.0,1198.0,53.0,16.0,5.0,75000.0,10000.0,1165000,111000,14000,3000,,,492731.0,1491.0,296031.0,25685.0
2007-04-30,50.25,-4.21667,1.0,4989.0,80.0,14253.0,83.0,2490.0,237.0,5.0,5.0,104000.0,55000.0,1995000,168000,38000,4000,,,1568279.0,21388.0,302790.0,9939.0
2007-04-30,50.25,-4.21667,7.0,4634.0,653.0,13012.0,2112.0,3632.0,1599.0,10.0,7.0,121000.0,98000.0,2926000,1659000,55000,26000,,,1417045.0,257235.0,299337.0,6326.0
2007-04-30,50.25,-4.21667,25.0,3258.0,1820.0,7695.0,5606.0,5329.0,300.0,3.0,1.0,162000.0,72000.0,4467000,636000,74000,35000,,,947587.0,286023.0,317475.0,10370.0
2007-04-30,50.25,-4.21667,50.0,4458.0,5583.0,15685.0,24945.0,4402.0,1815.0,5.0,2.0,102000.0,41000.0,3426000,2715000,48000,25000,,,869624.0,428292.0,365183.0,71853.0
2007-05-08,50.25,-4.21667,1.0,10536.0,437.0,42664.0,1846.0,2151.0,654.0,6.0,4.0,93000.0,48000.0,525000,210000,54000,25000,,,1359552.0,16425.0,451402.0,3519.0
2007-05-08,50.25,-4.21667,7.0,9193.0,2480.0,35442.0,12578.0,3326.0,1086.0,2.0,3.0,97000.0,57000.0,557000,154000,32000,9000,,,1340372.0,87804.0,454670.0,6757.0
2007-05-08,50.25,-4.21667,25.0,4965.0,2513.0,14849.0,10138.0,6432.0,3213.0,5.0,3.0,130000.0,41000.0,3169000,4038000,39000,18000,,,1218712.0,101201.0,432222.0,28287.0
2007-05-08,50.25,-4.21667,52.0,5625.0,6221.0,23787.0,35553.0,6960.0,5095.0,11.0,9.0,121000.0,73000.0,7557000,904000,13000,11000,,,1039401.0,99065.0,417403.0,47760.0
2007-05-21,50.25,-4.21667,1.0,12819.0,188.0,65255.0,577.0,1079.0,42.0,25.0,3.0,211000.0,12000.0,6516000,160000,0,0,,,903723.0,31315.0,463767.0,10955.0
2007-05-21,50.25,-4.21667,7.5,12344.0,228.0,64174.0,46.0,1049.0,23.0,29.0,4.0,256000.0,28000.0,6495000,106000,0,0,,,880032.0,7929.0,450340.0,10263.0
2007-05-21,50.25,-4.21667,25.0,7036.0,107.0,7330.0,246.0,201.0,34.0,9.0,6.0,46000.0,7000.0,1063000,46000,0,0,,,659419.0,4743.0,384626.0,9205.0
2007-05-21,50.25,-4.21667,51.0,6056.0,63.0,5703.0,70.0,157.0,23.0,4.0,1.0,30000.0,4000.0,916000,44000,0,0,,,650536.0,5059.0,386722.0,2118.0
2007-06-04,50.25,-4.21667,0.2,13315.0,89.0,6822.0,157.0,2410.0,93.0,48.0,11.0,275000.0,18000.0,0,0,17000,2000,,,1185066.0,325602.0,958793.0,262927.0
2007-06-04,50.25,-4.21667,7.5,15195.0,227.0,8110.0,153.0,2877.0,16.0,47.0,10.0,263000.0,10000.0,0,0,19000,6000,,,936367.0,49056.0,780757.0,23866.0
2007-06-04,50.25,-4.21667,25.0,3880.0,44.0,4463.0,102.0,1080.0,52.0,46.0,32.0,344000.0,23000.0,0,0,5000,4000,,,756954.0,260077.0,672320.0,178157.0
2007-06-04,50.25,-4.21667,50.0,3662.0,53.0,3635.0,29.0,749.0,2.0,70.0,1.0,206000.0,16000.0,0,0,3000,2000,,,574589.0,9938.0,567633.0,4602.0
