time,lat,lon,depth,cruise_name,date_time,botid,press,theta,sigma,temp,csal,coxy,bsal,boxy,dic,ph,alk,phos,nit,sil,dop,don,doc,tdp,tdn,pc,pn,pp,lln,llp,chl,phaeo,chl3,chl12,chlplus,perid,but19,fuco,hex19,prasino,diadino,zeaxan,chlb,hplc,chlc4,acar,bcar,caroten,chlda,viol,lutein,mvchla,dvchla,hbact,pbact,sbact,ebact,atp,n2o,psi,pe4,pe5,pe10,p15n,l12,d12,no2
1988-10-31T00:00:00,22.75,-158,4.670437938085125,HOT001,15704.0,10200312,4.7,26.2868,23.122,26.2879,35.2344,224.6,35.245,210.9,,,,0.09,0.02,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-10-31T00:00:00,22.75,-158,10.63254438472742,HOT001,150832.0,10200705,10.7,26.2616,23.097,26.264,35.19,,,,,,,0.07,0.0,0.52,0.2,5.01,,0.26,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-10-31T00:00:00,22.75,-158,25.33833177156368,HOT001,150658.0,10200704,25.5,26.2625,23.096,26.2683,35.1894,,,,,,,0.08,0.04,0.71,,,,,,,,,,,0.13,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-11-01T00:00:00,22.75,-158,4.074217748419804,HOT001,63545.0,10201010,4.1,26.2617,23.065,26.2626,35.148,,35.1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-11-01T00:00:00,22.75,-158,7.65151285382764,HOT001,213534.0,10201305,7.7,26.2752,23.475,26.2769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.64,,,,,,,,,
1988-11-01T00:00:00,22.75,-158,16.49511318031552,HOT001,120733.0,10201111,16.6,26.2669,23.15,26.2706,35.2632,,,,,,,0.08,0.02,0.71,0.2,5.53,,0.27,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-11-01T00:00:00,22.75,-158,19.67474133954567,HOT001,63421.0,10201009,19.8,26.261,23.056,26.2655,35.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-11-01T00:00:00,22.75,-158,24.24537036983037,HOT001,213102.0,10201304,24.4,26.2441,23.272,26.2496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.96,,,,,,,,,
1988-11-02T00:00:00,22.75,-158,9.93697424118304,HOT001,65824.0,10201607,10.0,26.2809,23.085,26.2832,35.1818,214.2,35.1788,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-11-02T00:00:00,22.75,-158,11.72557840983126,HOT001,249.0,10201402,11.8,26.3344,23.067,26.337,35.1802,,35.1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-11-02T00:00:00,22.75,-158,18.78047590744989,HOT001,30628.0,10201509,18.9,26.2722,23.08,26.2764,35.1716,213.4,35.1691,218.6,,,,,,,,,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-11-02T00:00:00,22.75,-158,28.12038903363786,HOT001,112239.0,10201707,28.3,26.2754,23.096,26.2818,35.1948,206.3,35.1844,210.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-02T00:00:00,22.75,-158,0.8943474241628387,HOT002,195217.0,20200711,0.9,25.6169,23.142,25.6171,34.9834,,,,1956.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-02T00:00:00,22.75,-158,1.49057687059054,HOT002,142015.0,20200510,1.5,25.6141,23.144,25.6144,34.9858,207.1,34.987,206.1,1958.1,,,0.09,0.05,1.03,0.18,5.01,,0.26,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-02T00:00:00,22.75,-158,1.589948276244839,HOT002,225346.0,20200811,1.6,25.6598,23.128,25.6601,34.9833,,,,1961.1,,,0.09,0.05,1.42,,,,,,,,,,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-02T00:00:00,22.75,-158,2.086804581309165,HOT002,170444.0,20200604,2.1,25.6135,23.143,25.614,34.9846,,34.9835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-02T00:00:00,22.75,-158,15.50146926028378,HOT002,104126.0,20200411,15.6,25.705,23.104,25.7084,34.9703,,,207.3,,,,0.09,0.07,0.05,0.15,5.04,,0.23,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-02T00:00:00,22.75,-158,16.09765619062444,HOT002,225240.0,20200810,16.2,25.6131,23.143,25.6166,34.9839,,34.9848,,,,,0.08,0.05,1.42,,,,,,,,,,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-02T00:00:00,22.75,-158,21.06581314230687,HOT002,141852.0,20200509,21.2,25.6074,23.148,25.612,34.9874,209.0,,206.2,1961.1,,,0.09,0.05,1.03,,,,,,,,,,,0.19,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-02T00:00:00,22.75,-158,23.94728897572972,HOT002,170324.0,20200603,24.1,25.5785,23.162,25.5838,34.9941,,34.9921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-02T00:00:00,22.75,-158,25.93449007894124,HOT002,195030.0,20200710,26.1,25.5522,23.166,25.558,34.9895,,,,1958.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-03T00:00:00,22.75,-158,1.589948276244839,HOT002,194714.0,20201511,1.6,25.6488,23.129,25.6492,34.9795,195.8,,,,,,,,,,,,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-03T00:00:00,22.75,-158,1.689319633685138,HOT002,135443.0,20201311,1.7,25.666,23.118,25.6663,34.9723,212.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-03T00:00:00,22.75,-158,1.788690942911579,HOT002,75333.0,20201111,1.8,25.7225,23.108,25.7229,34.9825,,34.9862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.82,,,,,,,,,
1988-12-03T00:00:00,22.75,-158,2.086804581309165,HOT002,44947.0,20201011,2.1,25.7457,23.088,25.7462,34.9653,221.3,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,,1.0,14.0,,23.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,
